species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Genus,family,Original_Year,Growth_Habit
Micraira pungens Lazarides,Micraira pungens,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Micraira,Poaceae,1979,graminoid
Micraira spiciforma Lazarides,Micraira spiciforma,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Micraira,Poaceae,1985,graminoid
Micraira spinifera Lazarides,Micraira spinifera,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Micraira,Poaceae,1979,graminoid
Micraira subspicata Lazarides,Micraira subspicata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Micraira,Poaceae,1979,graminoid
Micraira viscidula Lazarides,Micraira viscidula,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Micraira,Poaceae,1985,graminoid
Microchloa indica (L.f.) P.Beauv.,Microchloa indica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microchloa,Poaceae,1782,graminoid
Microstegium nudum (Trin.) A.Camus,Microstegium nudum,not present,native,not present,not present,naturalised,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microstegium,Poaceae,1833,graminoid
Mnesithea annua (Lazarides) de Koning & Sosef,Mnesithea annua,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Mnesithea,Poaceae,1985,graminoid
Mnesithea pilosa B.K.Simon,Mnesithea pilosa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Mnesithea,Poaceae,1989,graminoid
Neurachne annularis T.D.Macfarl.,Neurachne annularis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Neurachne,Poaceae,2007,graminoid
Neurachne lanigera S.T.Blake,Neurachne lanigera,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Neurachne,Poaceae,1972,graminoid
Oplismenus burmanni (Retz.) P.Beauv.,Oplismenus burmanni,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Oplismenus,Poaceae,1783,graminoid
Oryza minuta J.Presl,Oryza minuta,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Oryza,Poaceae,1830,graminoid
Oryza officinalis Wall. ex G.Watt,Oryza officinalis,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Oryza,Poaceae,1891,graminoid
Panicum chillagoanum B.K.Simon,Panicum chillagoanum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Panicum,Poaceae,1992,graminoid
Panicum incomtum Trin.,Panicum incomtum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Panicum,Poaceae,1826,graminoid
Panicum latzii R.D.Webster,Panicum latzii,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Panicum,Poaceae,1987,graminoid
Panicum mindanaense Merr.,Panicum mindanaense,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Panicum,Poaceae,1906,graminoid
Panicum obseptum Trin.,Panicum obseptum,not present,native,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Panicum,Poaceae,1826,graminoid
Paspalidium caespitosum C.E.Hubb.,Paspalidium caespitosum,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Paspalidium,Poaceae,1934,graminoid
